"rank","property_id","address","latitude","longitude","price","currency","bedrooms","bathrooms","area_sqft","land_area_sqft","listing_agent_name","listing_broker_name","other_agents","redfin_estimate","estimate_mortgage","days_on_market","year_built","property_type","property_style","sold_date","status","mls_number","image_urls","description","input_url","property_url","listing_page_url"
"184","2633456","12 Redwood Ct, Santa Rosa, CA 95409","38.475342","-122.671319","396000","USD","3","2","1166","780","Ron Larson","Coldwell Banker Realty","","400907","","","1975","Condo/Co-op","","03-03-2021","Closed","22029314","https://ssl.cdn-redfin.com/photo/27/bigphoto/314/22029314_4.jpg","This desirable three bedroom, two bathroom end-unit condominium has just been beautifully updated. One bedroom and full bathroom are on the main level. The extensive improvements include new lighting, interior painting, baseboard trim and flooring throughout; new cabinets with soft-close hinges, quartz countertops, a new sink and faucet and a new oven and hood in the kitchen; a new shower, quartz countertop, sink and faucet, and mirror in the main floor bathroom; a new tub, shower enclosure and hardware, quartz countertop, sinks and faucets, and mirror in the upstairs bathroom. The great room with a cathedral ceiling looks out to a private patio. You'll enjoy the convenience of being across the street from Oliver's Market, restaurants and a hardware store. The covered parking spot is right at the end, nearest the unit. Rincon Valley parks, schools and a public library are also nearby. Don't miss out on this special property!","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/12-Redwood-Ct-95409/home/2633456","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo/page-2"
"13","2237793","7416 Oak Leaf Dr, Santa Rosa, CA 95409","38.4368235","-122.5832928","789000","USD","2","2","1718","7300","","","","776292","","","1975","Single Family Residential","","","Sold","","https://maps.googleapis.com/maps/api/streetview?channel=mb-ldp-publicrecord&location=7416+Oak+Leaf+Dr%2C+Santa+Rosa%2C+CA+95409&size=665x441&source=outdoor&client=gme-redfin&signature=1miXX0yidkEhm6UxZv35Tmskf4k=","","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/7416-Oak-Leaf-Dr-95409/home/2237793","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
"1","2210897","2524 Midway Dr, Santa Rosa, CA 95405","38.446394","-122.6851987","775000","USD","3","2","1863","6175","","","","796276","","","1951","Single Family Residential","","","Sold","","https://maps.googleapis.com/maps/api/streetview?channel=mb-ldp-publicrecord&location=2524+Midway+Dr%2C+Santa+Rosa%2C+CA+95405&size=665x441&source=outdoor&client=gme-redfin&signature=ey7_oJhxBqV4g1d9eMKDMCuHbFc=","","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/2524-Midway-Dr-95405/home/2210897","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
"183","2631309","1709 Las Pravadas Ct, Santa Rosa, CA 95409","38.465245","-122.6739594","390000","USD","3","1.5","1220","1128","Sue Cho","Safer Properties","","391798","","","1973","Townhouse","Traditional","01-05-2021","Closed","321019128","https://ssl.cdn-redfin.com/photo/27/bigphoto/128/321019128_0.jpg","Awake to the sounds of birds chirping and frogs in the creek right outside your window. This bright, sunny Rincon Valley townhome located in sought after private PRIME location of Mission Creek backs up to the Dutcher/Austin Creek greenbelt. There is a large private courtyard in front and back patio with an apricot tree and grape vines. There are updates throughout including dual pane windows, wood pattern laminate flooring, carpet and a bay window in the kitchen. Mission Creek offers many amenities including two swimming pools, sprawling lawns, tons of greenery and no through traffic. The convenient location provides easy access to Rinconada Park, Madrone Elementary, Oliver's Market. Ducks, river otters and turtles live along the Brush and Santa Rosa Creek trails minutes from your home.","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/1709-Las-Pravadas-Ct-95409/home/2631309","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo/page-2"
"22","2330135","1419 Olive St, Santa Rosa, CA 95407","38.4236782","-122.7168029","505000","USD","3","1.5","1357","7533","","","","520268","","","1946","Single Family Residential","","","Sold","","https://maps.googleapis.com/maps/api/streetview?channel=mb-ldp-publicrecord&location=1419+Olive+St%2C+Santa+Rosa%2C+CA+95407&size=665x441&source=outdoor&client=gme-redfin&signature=2RvQVeTO-NzPM8TggNrguq3srng=","","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/1419-Olive-St-95407/home/2330135","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
"137","2343252","1195 Santa Barbara Dr, Santa Rosa, CA 95404","38.4243966","-122.700467","332500","USD","2","1","877","5998","David Schlote","RE/MAX Gold","","348514","1510","9 days","1952","Single Family Residential","Ranch","","Active","321033419","https://ssl.cdn-redfin.com/photo/27/bigphoto/419/321033419_0.jpg","2 Bedroom, 1 bathroom home with 1 car attached garage.","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/1195-Santa-Barbara-Dr-95404/home/2343252","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo/page-2"
"210","2229499","1437 Neotomas Cir, Santa Rosa, CA 95405","38.433969","-122.6854","427050","USD","2","2","1131","","Fermin Escutia","Prosper Real Estate","","432749","","","1975","Condo/Co-op","","21-04-2021","Closed","321010163","https://ssl.cdn-redfin.com/photo/27/bigphoto/163/321010163_0.jpg","Charming Bennett Valley townhome centrally located to Downtown, Montgomery Village, shopping, and recreational activities. This nicely appointed End unit offers 2 bedrooms, 2 baths, updated kitchen, Stainless Steel appliances, updated bathrooms with marble tile floors, newer windows, and oak staircase. Additional bonus room adds extra space for telecommuting, yoga, distance learning, or relaxing with a movie. The private back patio is a perfect space for gardening and relaxing with friends and family.","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/1437-Neotomas-Ave-95405/home/2229499","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo/page-2"
"79","174244934","1184 Woodcrest Dr #1184, Santa Rosa, CA 95401","38.4446767","-122.7449188","80000","USD","2","2","1440","","James Walker","Coldwell Banker Realty","","","","","1970","Mobile/Manufactured Home","","19-04-2021","Closed","22025344","https://ssl.cdn-redfin.com/photo/27/bigphoto/344/22025344_2.jpg","Welcome to: Woodcrest A 55 + Community. This community offers: a dog park, walking path, club house, pool and laundry facility. The home has 2 Bedrooms, 2 Bathrooms, Bar, Living Room and Dinning Room. There is an additional closed in area on the deck and a shed. You will also enjoy the Central Heat and A/C.","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/1184-Woodcrest-Dr-95401/unit-1184/home/174244934","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
"16","2241529","469 Pythian Rd, Santa Rosa, CA 95409","38.4308839","-122.5865175","692500","USD","2","2","1401","8544","","","","695800","","","1976","Single Family Residential","","","Sold","","https://maps.googleapis.com/maps/api/streetview?channel=mb-ldp-publicrecord&location=469+Pythian+Rd%2C+Santa+Rosa%2C+CA+95409&size=665x441&source=outdoor&client=gme-redfin&signature=kzbOEjj5ynTht2zpvGe1Jk1VR14=","","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/469-Pythian-Rd-95409/home/2241529","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
"3","2210897","2524 Midway Dr, Santa Rosa, CA 95405","38.446394","-122.6851987","775000","USD","3","2","1863","6175","","","","796276","","","1951","Single Family Residential","","","Sold","","https://maps.googleapis.com/maps/api/streetview?channel=mb-ldp-publicrecord&location=2524+Midway+Dr%2C+Santa+Rosa%2C+CA+95405&size=665x441&source=outdoor&client=gme-redfin&signature=ey7_oJhxBqV4g1d9eMKDMCuHbFc=","","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/2524-Midway-Dr-95405/home/2210897","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
"81","174244934","1184 Woodcrest Dr #1184, Santa Rosa, CA 95401","38.4446767","-122.7449188","80000","USD","2","2","1440","","James Walker","Coldwell Banker Realty","","","","","1970","Mobile/Manufactured Home","","19-04-2021","Closed","22025344","https://ssl.cdn-redfin.com/photo/27/bigphoto/344/22025344_2.jpg","Welcome to: Woodcrest A 55 + Community. This community offers: a dog park, walking path, club house, pool and laundry facility. The home has 2 Bedrooms, 2 Bathrooms, Bar, Living Room and Dinning Room. There is an additional closed in area on the deck and a shed. You will also enjoy the Central Heat and A/C.","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/1184-Woodcrest-Dr-95401/unit-1184/home/174244934","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
"19","2282610","5708 Marsh Hawk Dr, Santa Rosa, CA 95409","38.4635121","-122.6396228","1250000","USD","3","2.5","3231","11342","","","","1269289","","","2000","Single Family Residential","","","Sold","","https://maps.googleapis.com/maps/api/streetview?channel=mb-ldp-publicrecord&location=5708+Marsh+Hawk+Dr%2C+Santa+Rosa%2C+CA+95409&size=665x441&source=outdoor&client=gme-redfin&signature=W-c6qtPKBvC4AQCvgIx7V_0Fkm0=","","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/5708-Marsh-Hawk-Dr-95409/home/2282610","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
"4","2217648","1804 Sherwood Ct, Santa Rosa, CA 95405","38.4494092","-122.695216","875000","USD","4","2","1898","8500","","","","938372","","","1974","Single Family Residential","","","Sold","","https://maps.googleapis.com/maps/api/streetview?channel=mb-ldp-publicrecord&location=1804+Sherwood+Ct%2C+Santa+Rosa%2C+CA+95405&size=665x441&source=outdoor&client=gme-redfin&signature=ZOg9OL47Il0bdVFfYTsrpCh1ENg=","","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/1804-Sherwood-Ct-95405/home/2217648","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
"211","2341835","283 Anteeo Way, Santa Rosa, CA 95407","38.3965554","-122.7204441","435000","USD","2","1.5","871","2631","Justin Vrobel","RE/MAX Gold","","452172","","","1996","Single Family Residential","Contemporary","26-03-2021","Closed","22030055","https://ssl.cdn-redfin.com/photo/27/bigphoto/055/22030055_4.jpg","3D walking tour at https://tinyurl.com/y3upbmds. Welcome to your new starter house. One of only 4 homes in Santa Rosa under $450,000. It is move in ready with modern updates, fresh paint inside and landscaping. A private backyard is ready for you to fire up the grill and kick your feet up. Located just a block away from Andy's Unity Park. A real gem in the Sonoma County Parks system. Quick access to 101 and NO HOA. It's time for you to stop paying your landlords mortgage and get into a home of your own before they raise your rents again.","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/283-Anteeo-Way-95407/home/2341835","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo/page-2"
"56","2617442","2344 Lomitas Ave, Santa Rosa, CA 95404","38.4640567","-122.7162625","525000","USD","2","1","888","6500","","","","543988","","","1939","Single Family Residential","","","Sold","","https://maps.googleapis.com/maps/api/streetview?channel=mb-ldp-publicrecord&location=2344+Lomitas+Ave%2C+Santa+Rosa%2C+CA+95404&size=665x441&source=outdoor&client=gme-redfin&signature=SRVr8eFlDjJ3ojXqNTZu8QC6pNg=","","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/2344-Lomitas-Ave-95404/home/2617442","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
"66","12112468","9124 Oak Trail Cir, Santa Rosa, CA 95409","38.4324324","-122.5813049","870000","USD","3","2","2321","7127","","","","875478","","","2006","Single Family Residential","","","Sold","","https://maps.googleapis.com/maps/api/streetview?channel=mb-ldp-publicrecord&location=9124+Oak+Trail+Cir%2C+Santa+Rosa%2C+CA+95409&size=665x441&source=outdoor&client=gme-redfin&signature=r5vqLvNIDfNSjFjTMHrhfvYkh8c=","","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/9124-Oak-Trail-Cir-95409/home/12112468","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
"75","174326558","75 Arthur Dr, Santa Rosa, CA 95403","38.522011","-122.778798","39000","USD","2","2","1060","","Jo Lasley","Keller Williams Realty","","","","","1971","Mobile/Manufactured Home","","08-04-2021","Closed","22034786","https://ssl.cdn-redfin.com/photo/27/bigphoto/786/22034786_1.jpg","Senior park cosmetic fixer that needs your special touch to transform this home that suits you. Seller has priced the home to be purchased in its present condition. Home is located on a corner of a cul-de-sac, no homes on either side and next to the RV parking storage separated by fencing. Second bedroom has been made into a den with a cutout archway in the wall to the room and has no closet. This home has a lot of potential and priced to accomodate repairs and updating. Small side yard on the westside. A shed in the backyard which is a small area.","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/75-Arthur-Dr-95403/home/174326558","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
"35","2556109","320 Chadwick Pl, Santa Rosa, CA 95401","38.4352669","-122.749059","580000","USD","3","2","1106","7100","","","","592949","","","1976","Single Family Residential","","","Sold","","https://maps.googleapis.com/maps/api/streetview?channel=mb-ldp-publicrecord&location=320+Chadwick+Pl%2C+Santa+Rosa%2C+CA+95401&size=665x441&source=outdoor&client=gme-redfin&signature=p4EKGNRvf7fNZ2o9KU-vQcxXWcg=","","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/320-Chadwick-Pl-95401/home/2556109","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
"78","173448306","116 Pear Ln #116, Santa Rosa, CA 95407","38.4075742","-122.7131201","77500","USD","2","2","1100","","Brady Smith","Keller Williams Realty","Christopher Smith - Keller Williams Realty","","","","1966","Mobile/Manufactured Home","","26-02-2021","Closed","22024756","https://ssl.cdn-redfin.com/photo/27/bigphoto/756/22024756_2.jpg","Very well maintained double wide 2bd/2ba on oversized lot in desirable Mountain View Estates Mobile Home Park. Family friendly with a designated playpark for children and club house for use by park tenants. Home has abundant storage and beautiful real wood paneling throughout. Outside was recently painted front and back. Excellent swamp cooler and gas central heating. Views of Taylor mountain. Close to major shopping centers (Costco, Target and Trader Joes).","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/116-Pear-Ln-95407/unit-116/home/173448306","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
"107","26838734","1955 Pinercrest Dr #229, Santa Rosa, CA 95403","38.4687025","-122.7517439","201000","USD","2","2","1152","","Kenneth Schrier","RE/MAX Marketplace","","","","","1987","Mobile/Manufactured Home","","22-03-2021","Closed","321002416","https://ssl.cdn-redfin.com/photo/27/bigphoto/416/321002416_0.jpg","Adult Community Beauty! This wonderful 2 bedroom, 2 full bath home located in The Orchards of Santa Rosa is a must see! Home features plenty of natural light, bamboo floors, air conditioning, dual pane windows, covered patio, an attached 2 car garage and tons of extras!","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/1955-Pinercrest-Dr-95403/unit-229/home/26838734","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
"120","2304482","1060 Leddy Ave, Santa Rosa, CA 95407","38.420508","-122.7659273","317250","USD","2","1","696","8712","Stephanie Graham","Keller Williams Realty","","348706","","","1945","Single Family Residential","Traditional","15-03-2021","Closed","22023560","https://ssl.cdn-redfin.com/photo/27/bigphoto/560/22023560_1.jpg","Great investment opportunity with so much potential!","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/1060-Leddy-Ave-95407/home/2304482","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo/page-2"
"18","2241529","469 Pythian Rd, Santa Rosa, CA 95409","38.4308839","-122.5865175","692500","USD","2","2","1401","8544","","","","695800","","","1976","Single Family Residential","","","Sold","","https://maps.googleapis.com/maps/api/streetview?channel=mb-ldp-publicrecord&location=469+Pythian+Rd%2C+Santa+Rosa%2C+CA+95409&size=665x441&source=outdoor&client=gme-redfin&signature=kzbOEjj5ynTht2zpvGe1Jk1VR14=","","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/469-Pythian-Rd-95409/home/2241529","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
"92","174245003","156 El Crystal St #156, Santa Rosa, CA 95407","38.3972222","-122.7093365","150000","USD","3","2","960","","Barbara Brennan","Century 21 Alliance","","","","","2003","Mobile/Manufactured Home","","02-04-2021","Closed","22031440","https://ssl.cdn-redfin.com/photo/27/bigphoto/440/22031440_2.jpg","Mobile home at end of park. Has 4 parking spaces. 2 Full baths. 30 yr roof installed in 2019. Both stair cases installed with 2 years. Skylight in dining area. Cpt brand new. Much natural light. Includes washer, dryer,& refrigerator. Carport + 2 spaces.","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/156-El-Crystal-Dr-95407/unit-156/home/174245003","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
"95","174244928","107 Cardinal Way #34, Santa Rosa, CA 95409","38.46405","-122.674443","162000","USD","2","2","960","604177","Ruth Ann Williams","Coldwell Banker Realty","","","","","1989","Mobile/Manufactured Home","","05-03-2021","Closed","22024211","https://ssl.cdn-redfin.com/photo/27/bigphoto/211/22024211_3.jpg","HUGE PRICE REDUCTION! This lovely and well-cared for home in Senior Rincon Valley Mobile Estates. It has a remodeled kitchen and bathrooms. Kitchen cabinets have beautiful hardware and self-closing drawers. Newer refrigerator, dishwasher, stove, beautiful laminate flooring, roof, skirting, back steps and air conditioning. 2 bedroom/2 bathroom with separate washer/dryer area and a beautiful sun room. Also new front steps. Park features a dog park, in-ground swimming pool, spa and area for community garden, & planned activities.","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/107-Cardinal-Way-95409/unit-34/home/174244928","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
"155","172722232","2672 Franz Kafka Ave, Santa Rosa, CA 95404","38.416014","-122.701487","358470","USD","1","1","623","","Tara Polley","Sotheby's International Realty","","371896","","","2020","Condo/Co-op","Contemporary, Farmhouse","","Closed","22019094","https://ssl.cdn-redfin.com/photo/27/bigphoto/094/22019094_2.jpg","Welcome to Santa Rosa's newest community - The Residences @ Taylor Mountain. A collection of modern farmhouse condominiums with 5 unique floor plans in the heart of Wine Country. Featuring beautifully appointed units grouped into triplex and fourplex buildings and sustainably compliant CAL-Green Standards, tankless water heaters, 9' ceilings, LG Hi-Mac and Quartz Countertops, Mission-Style Cabinetry, and Stainless Steel appliance packages including microwave and refrigerator. Just a few short miles from hiking and biking trails, downtown dining, premier shopping, award winning private schools, Sonoma State University and the Green Music Center, and access to the Smart Train or quick commute routes. Escape the big city with work-from-home spaces, and more affordable than renting! Quick move-ins may be available. Starting in the $300,000s, don't wait!","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/2672-Franz-Kafka-Ave-95404/home/172722232","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo/page-2"
"49","2610903","3524 Hidden Pine Ct, Santa Rosa, CA 95404","38.4806618","-122.7045705","899900","USD","3","2","1820","7550","","","","967583","","","1985","Single Family Residential","","","Sold","","https://maps.googleapis.com/maps/api/streetview?channel=mb-ldp-publicrecord&location=3524+Hidden+Pine+Ct%2C+Santa+Rosa%2C+CA+95404&size=665x441&source=outdoor&client=gme-redfin&signature=evKW0VnD4ZGDA2pI5vp1kLtKxQw=","","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/3524-Hidden-Pine-Ct-95404/home/2610903","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
"10","2237484","65 Autumn Leaf Dr, Santa Rosa, CA 95409","38.4379615","-122.5885716","757000","USD","2","2","1854","7000","","","","764443","","","1971","Single Family Residential","","","Sold","","https://maps.googleapis.com/maps/api/streetview?channel=mb-ldp-publicrecord&location=65+Autumn+Leaf+Dr%2C+Santa+Rosa%2C+CA+95409&size=665x441&source=outdoor&client=gme-redfin&signature=6Q63R48BcRkGrwAmjwG4UyLs1U4=","","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/65-Autumn-Leaf-Dr-95409/home/2237484","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
"51","2610903","3524 Hidden Pine Ct, Santa Rosa, CA 95404","38.4806618","-122.7045705","899900","USD","3","2","1820","7550","","","","967583","","","1985","Single Family Residential","","","Sold","","https://maps.googleapis.com/maps/api/streetview?channel=mb-ldp-publicrecord&location=3524+Hidden+Pine+Ct%2C+Santa+Rosa%2C+CA+95404&size=665x441&source=outdoor&client=gme-redfin&signature=evKW0VnD4ZGDA2pI5vp1kLtKxQw=","","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/3524-Hidden-Pine-Ct-95404/home/2610903","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
